english	manx_translations
chopper	bwoid niaghan; scolteyder; teigh
chops	asnaghyn; eallyn; I hit him on the chops
chromatic	lane-daahagh; cromaidagh; lieh-hoanagh
chronic	beayn; foddey farraghtyn; neuhurransagh
chronicle	recortey; recortys; cronnickyl
chuck	chuck; craag; jannoo chuck
churchwarden	fer jeh kiare ny killagh; wardoon killagh; piob liauyr kelk
chute	eas; lhieggey ushtey; shliawinane
cicatrize	goaill crackan; jannoo cron; screbbey
cinder	greesagh; smarage; smarage yiarn
cinema	kinemey; scannaneaght; thie jalloo
cipher	far-heean; far-heeaney; neunhee
circularity	cruinnid; kiarkylid; runtid
circumnavigate	combaasal; keayrt-hiaulley; kiarkley
circumscribe	cur cheorey er; cur lhiettrimys er; cur linney mygeayrt er
circumscribed	cheorit; lhiettrimit; ym-scruit
circumscription	cheorey; limistyr; ym-screeu
circumventory	cleaynagh; kialgagh; shaghnagh
citation	ard-voylley; coyrt myr sampleyr; symney
civilization	ard-veenid; ard-veasaght; shiveeltaght
clairvoyant	aahilley ec; She is clairvoyant; dooinney fysseree
clamp	carnanaghey; clampal; clampey
clandestine	follaghtagh; follit; keiltynagh
clang	cling; clingeraght; sheean meainagh
clannish	cleinnagh; er son y cheilley; kynneydagh
clapper	claggan; oabbyr; hengey-chlag
clarify	glenney; reddaghey; sheealaghey
classic	classicagh; mie ass towse; obbyr chlassicagh
classified	ayns rangyn; folliaghtagh; follit
classify	graaidal; rang-oardraghey; rheynn
clatter	feiyr; feiyral; jannoo feiyr
cleanliness	glennid; gillid; scuighid
clearance	chiarrey; glenney; shiaulley
clearness	baghtallys; cleerid; gillid
cleric	agglishagh; bochilley anmey; cleragh
clerkship	cleraghys; obbyr chleeree; staartey cleree
clich	raa cadjin; shenn-raa; cleeshea
clink	bwoalley cling ass; cling; clingeragh
clipped	baarit; giarrit; lhommit
cloakroom	shamyr chooat; shamyr eaddee; cuillee eaddee
clockwise	jeshal; lesh y ghrian; myr y clag
clog	braag vaidjagh; far-vraag; lhiettal
cloister	cloister; mannishter; paal vannishter
close-cropped	baarit lhome; buinnt dy lhome; lhomit
close-fisted	gortagh; peajeogagh; sondagh
close-fistedness	cribbidjys; gortaght; peajeogys
closet	closet; cooillee; cuillee
clot	binjaghey; chaghtane; chiughey
cloudiness	bodjallys; mooirjeenys; neuheelaght
cloudless	glen; gyn bodjal; neuvodjallit
clouter	builtagh; fer builtagh; labbeyder
clown	bonkan; fer aitt; gowran
clubs	baddyn; luirg; maidjaghyn
cluck	glock; scoylg; scoylgernee
clucking	glockal; gulgarnee; scoylgernee
clump	ceab; cur ry-cheilley; doss
clumsiness	maaigaght; nuyeshid; staghylys
clustered	dossanagh; chruinnee; They clustered round him
clutch	aail; greim; goaill greim er
coaching	greinnaghey; gynsaghey; gynsaghey er lheh
coalesce	co-haah; cohiangley; covestey
coalescence	co-haah; cohiangley; taah
coalfish	bloghan; gilpin; Juan Doo
coarseness	garrooid; mollid; neuveenid
coasting	cooseyraght; gyn jeshaght; gyn seiy
coated	coodit; fo brat; fo choodagh
cobble	bwaag; mooirlaig; cloodaghey
cobbled	bwaagagh; mooirlaigagh; karrit
cobbling	greasee; greaseeys; karraghey
cobweb	lhieen doo-oallee; sneeuane; feegan y doo-oallee
cockpit	cabbane y stiureyder; towl stiuree; laaragh troddan-kellee
cockscomb	keyjeen; lus ny meeyl; lus y chellee
code	coad; Morse code; reill
cog	chionney; jannoo maclioar follit; feeackle
cogent	breeoil; eignagh; lajer
cognisance	fys; oalys; raanteenys
cognition	baght; enney; fys
cognizance	fys; oalys; raanteenys
cognomen	ennym clein; far-ennym; sliennoo
cohabit	co-chummal; comyssey; cummal cooidjagh
cohabitation	co-chummal; co-hieys; cummal cooidjagh
cohere	cochiangley; colhiantyn; rere y cheilley
coherent	co-haagh; colhiantynagh; resoonagh
cohesive	co-ghreimmagh; co-haait; lhiantynagh
coiling	caslaghey; cassee; lhoobey
coinage	argid; bwoalley argid; cooinaghyn
cold-blooded	dewil; feayr-fuiltagh; creoi-chreeagh
collateral	co-cheimnagh; co-heuagh; raane
colloquial	cadjin; coloayrtyssagh; jeh'n theay
collusion	co-obbraghey; co-obbyr; co-pharteeas
colonel	curnal; cornel; They've made him a colonel
colonization	clanney; coloinaghey; coloinaght
colourful	daahoil; ornaidagh; yl-ghaait
columbine	lus Cholum; lus y chalmane; lus yn ushtey vio
coma	coamey; taaue-neeal; tappag
combed	caartit; kerit; reaghit
comber	caarteyder; cabbyl bane; kereyder
combustibility	so-ghreeshaght; so-lostagh; yn-lostagh
combustible	conney; so-ghreesaghey; sthoo ynlostey
commence	goaill toshiaght; goaill toshiaght er; toshiaghey
commensurate	cohowhanagh rish; co-trome; corrym
commissure	greim; junt; olt
committal	jannoo; kyndaghey; oanluckey
commonalty	theo; theay; sleih
commutability	co-chaglaays; ym-layrteeaght; yn-vaylartaght
commuted	ceaghlit; co-cheaghlit; maylartit
commuter	caghlaader; commateyr; coonreyder
compartment	carriads; rheynn; shamyr
compatibility	co-chordail; co-chorrymid; freggyrtaght
compensate	aayeeilley; cooilleeney; lhiasaghey
complement	aachione; co-reggyrt; dooie
compliments	bannaght; corp as slaynt; Whatever compliments he may pay you, don't beleive it=
component	co-olt; co-oltagh; rink
comprehensible	so-hoiggal; toiggallagh; tushtagh
compress	broojey; cohionney; faastey
compressible	yn-chohionney; yn-chovroojey; yn-vroojey
compromise	coardail; coardailys; cur ayns gaue
compromising	coardailagh; drogh-ouryssagh; tayrn drogh ourys er
concealment	clea; cleaght; follaghtyn
conceited	corvianagh; The less knowledge one has, the more conceited one is1; mooaralagh
concentrated	chiuit; co-chruinnit; co-ghlooit
concept	eie; sheiltynys; smooinaght
conciliation	aachaarjys; caarjaghey; reaghys
concrete	concraid; taah; concraidagh
concur	co-obbraghey; co-roie; taghyrt ry-cheilley
concussion	covuilley; polt; tharmane
condensation	co-ghlooghey; co-hiughey; druightys
condensed	co-ghlooit; co-hiuit; giarrit
condensing	cohiuaghey; giarrey; jannoo ny s'girrey
condone	lhiggey shaghey; maihaghey; pardooney
conferment	bronney; jannoo; stowal
confessional	credjue; feyshtynagh; kishtey feyshtyney
confine	cagliagh; dooney stiagh; jeigh seose
confinement	cagliaghey; dooney stiagh; lhie hoalley
confines	cagleeyn; oirryn; slystyn
confluence	cheet ry-cheilley; co-strooan; cohionnal
conform	covial; cur ayns oardagh; jannoo ayns oardagh
confuse	boirey; cur fud y cheilley; mestey
confusedness	mertraght; mundaght; nearey
confutation	cur gys veg; cur ny host; tostaghey
confute	cur gys veg; cur y vreag er; tostaghey
congeal	chiughey; glubbey; rioghey
congealable	lhejagh; yn-chiughey; yn-ghlubbey
congeniality	co-cheintys; cosoylaght; dooieid
congested	glooagh; peeaghaneagh; plooghit
congestion	glooid; peeaghaneys; plooghey
conglomerate	clagh phuiddin; covestey; jannoo bluckan
congruent	coardailagh; cooie; freggyragh
conjecture	far-vriwnys; sheiltyn; sheiltynys
conjointly	lesh y cheilley; nyn neesht ry-cheilley; nyn yees
conquering	barriaghtagh; mainshterlagh; mainshtyreilagh
conqueror	fer ny barriaght; mainshterlagh; mainshtreilagh
consanguine	fuilleeagh; jeh'n un chlein; jeh'n un 'uill
consanguinity	folley; fuilleeaght; mooinjerys
conscript	co-screeuagh; egintagh; cur stiagh er egin
consecutive	ass y cheilley; eiyrtyssagh; lhiantagh
conservationist	coadee; coadeyder; freilleyder
conservatory	grianane; thie gless; thie glonney
conserve	coadey; freayll; freayll ayns shugyr
considerate	currymagh; frioosagh; tastagh
considerateness	currymid; friooshaght; thortaght
consign	cur; cur fo currym; I consign them to your care
consolidation	cur ry-cheilley; niartaghey; stooaltys
constipated	kianglt; taartagh; tartagh
constituent	co-; co-ayrn; co-oyr
constriction	keylaghey; lhiettalys; lhiettrimys
constructive	jantyssagh; troggee; yn-cheeayllit
construe	cur bun er; peeshaghey; toiggal
consultant	coyrlagh; coyrlee; coyrleyder
contagiousness	dourinaght; goaillaght; gowaltaght
container	bocs; cummeydane; saagh
contamination	broighey; sollaghar; sollaghey
contents	cummal; These are the principal contents; lanid
contest	arganey noi; caggey noi; gleck noi
contiguous	bentyn; faggys da; sheeyney ry-cheilley
continuity	cochiangley; kinjaght; sheerid
contorted	ass-chummey; cassit; cast
contour	asslin; cummey; ym-linney
contractible	gowaltagh; so-chraplagh; troggalagh
contradictory	contraartagh; meechoardailagh; noi y cheilley
contrast	neuchosoylaght; neuchosoyley; soiaghey noi ry-hoi
contribute	co-hoyrt; cur da; jeeilley
controllable	yn-smaghtey; yn-stiurey; yn-streeaney
controlled	smaghtit; stiurit; streeanit
convene	co-chruinnaghey; eam cooidjagh; symney
convened	co-chruinit; eamit cooidjagh; symnit
conveyance	caghlaa shelloo; screeuyn shelloo; ymmyrkey
convict	carcharagh; deyraneagh; kimmagh
convoy	co-choadey; co-hiaulley; famman coadee
coo	caaghey; cauaigey; cauaig
cooker	coagyreyder; coageyder; sorn kishtin
coolness	feayr-chooishaght; feayrid; fynnyraght
co-ordinate	co-oardaghey; co-oardeeagh; co-ordnaid
co-ordination	co-oardaghey; cur er yn 'un cheim; obbraghey ry-cheilley
cope	copal; copey; streeu rish
copiousness	lhieenaraght; palchid; palchys
copyright	cair aascreeuee; cair-choip; cair-hoilshee
corporation	bolg; cochorp; kiouyl
corpulent	blennickagh; mooar-volgagh; roauyr
correctable	so-chiartaghey; so-lhiasaghey; so-smaghtey
corrective	kerree; kiartee; smaghtee
correctness	cooieid; kiartys; ynrickys
corrector	lhiaseyder; fer kerree; kerreyder
corroborate	co-niartaghey; co-niartey; co-yarrooaghey
corroborated	co-niartit; co-yarrooit; niartit
corroboration	co-niartaghey; co-niartey; co-yarrooaghey
corrosion	craiu; craiughey; farbaghey
corrosive	craiuagh; farbagh; gangreilagh
corrupter	cleayneyder; milleyder; trulleyder
cosmetic	cosmaid; jesheenag; cosmaidagh
cosmic	cosmagh; dowanagh; tuinnagh
cosmical	cosmagh; dowanagh; tuinnagh
costiveness	kiangley bolg; thartid; thartys
costumier	coamreyder; eaddagheyr; thalleyr
couches	lhiaghtyn; and stretch themselves upon their couches&; Bible
counterattack	jannoo noi-hoiagh er; soiagh er ash er; noi-hoiaghey
countermand	aa-oardagh; aa-oardaghey; noi-oardagh
countersink	leacag; leacaghey; leaceyr
couplings	cubbil; to buy hewn stone, and timber for couplings4; Bible
courier	chyrrysagh; roieder; Isle of Mann Courier
coverlet	brat lhiabbagh; curlead; curleid
covetously	dy sayntagh; dy sondagh; myr haynt
cowardice	aggleydaght; cloartys; cowartys
cowardly	aggleydagh; cloartagh; cowartagh
cowherd	bochilley baa; bochilley ollee; guilley ollee
coy	er hene; urree hene; nearildagh
crackpot	bonkan; ommidan; ommidjagh
cracksman	brisheyder tastan; burgleyr; maarliagh
craftiness	cluigid; clugeid; cluigys
cragged	creggagh; cregganagh; skerragh
crake	eean raip; fannag; feeagh
cram	broo; broojey; jingey
cramp	arkfeh; doghan feh; kyrloghid
cramped	as arkfeh er; jingit; kyrloghe
crate	cleeah-vocs; kishtey; cur ayns cleeah vocs
crawler	beishteig; loaganagh; raseyder
craziness	baanrid; blebbinys; keoieid
creamy	barragagh; keyagh; keyoil
creditable	onnoragh; moyllee; ooasle
crepitate	breimmeragh; frappal; frapperaght
crested	kereenagh; keyjeenagh; tappagh
crick	cassey mwaanalagh; feh-chrappey; sthangey
crier	eamagh; keayneyder; fer-eam
crippledness	anlheiltaght; croobaght; martarys
crippling	anheiltagh; baccagh; martaragh
crisp	brishlagh; oor; spongit
crispness	brishlid; oorid; spongaght
critical	contoyrtagh; cremeydagh; criticoil
criticizer	baghteyr; cremeyder; loghteyr
crochet	croaganey; croeshey; jannoo croeshey
crocus	crocys; crocus; The crocuses have been in bloom for some time(
crookedness	camlaagid; camlaagys; cammid
crops	baaryn; scrobbaghyn; troaryn
crosier	croagane aspickagh; lorg aspickagh; tersyn
cross-breed	crosh-heelraghey; crosh-heelrey; fer mestit
cross-question	crosh-cheishtey; crosh-feyshtey; crosh-cheist
crossroad	kiare-raaidyn; crosh; crossag
crowbar	craiu; craue yiarn; groe
crowdie	groo; groudle; sollaghyn
crozier	croagane aspickagh; lorg aspickagh; baccal
crucible	lheie choirrey; pash veayn; saagh lheie
crude	garroo; neu-appee; oor
crudeness	anappeeid; awid; garrooid
cruise	coorsal; jannoo turrys marrey; marrinys
crumb	cur kinneigyn er; jannoo kinneigyn jeh; kinneig
crumbliness	brooillid; kinneigid; mholmid
crumbling	kinneigey; mholmaghey; tuittymagh
crumbly	boghlanagh; kinneigagh; mhollim
crunch	broo; broojey; cranshal
crusher	broojer; jingeyder; lahneyder
crustacean	crustagh; scroigagh; shliggagh
cube	kioob; kioobey; kiap-cherrin
cucumber	cucowr; cucumber; cucower
cudgel	bad; cur bad da; maidjey fendeilee
cue	leeid; That's my cue; maidjey
culprit	kimmagh; kyndagh; olkeyr
cultivation	errooid; jannoo seose; lhiasaghey
curable	couyrallagh; lheihyssagh; so-lheihys
curbed	cribbit; fo smaght; oirrit
curdle	binjaghey; binjeanaghey; grooaghey
curiosity	aitt; cooishagh; fysseragh
curtailed	giarrit; cuttagh; giare
curtsey	curtshee; jannoo curtshee; lhoobey gliooney
cushion	clooishag; clooieshag; soiagan
cusp	birran; cuspey; eairk
custard	aunlyn buigh; custart; oohaghan
cuttlefish	eeast y vraain-olley; peie vreinn; peie-vroghe
cyclic	chymshallagh; fainnagh; kiarklagh
cyclical	chymshallagh; fainnagh; kiarklagh
cylinder	kylinder; Six cylinder car; rollian
dab	builley eddrym; dab; girvan
daffodil	lus ny cam-ching; lus ny n'guiy; lus-ny-guiy
dairy	dayree; shamyr ny bithag; shamyr vainney
dalliance	cumrailys; lhiastid; sooree
dally	feial; cumrail; feiyal
dark-skinned	dhone; doan; doochraitnagh
darn	cleeah; cur cleeah er; darnail
daunt	cur aggle er; cur er creau; agglaghey
daydream	ashlins laa; ashlish laa; dreamal laa
daze	cur er shaghryn; dallaghey; doalgaanee
dearness	ard-leagh; ennoilid; deyrid
deathless	do-varroo; neuvarvaanagh; sheer-
debatable	arganeagh; neuhickyr; yn-arganey
debauch	iuderaght; milley; trullaghey
debug	jee-chrontaghey; jee-loghtaghey; jee-outaghey
decimal	jeihoil; Correct to three decimal places!; jeihoilan
decisive	briwnyssagh; reaghee; reiltagh
decomposition	jeechummey; loaughey; lhoauys
decoy	breigane; breigey; cleaynaghey
defecate	cackey; jannoo keck; keckey
defecation	cackey; jannoo keck; keckey
defect	foill; lheamys; treigeil
deficient	failleilagh; laccal; lhag-inchynagh
deficit	baarney; laccalys; Cover the deficit
definite	kinjagh; kioneagh; shickyr
definitely	dy shickyr; gyn ourys; son shickyrys
definition	baght; geyrid; keeayllaght
deform	aachummey; lheamyssey; mee-chummey
deformation	aachummey; lheamyssey; mee-chummey
defunct	anvio; caillt; marroo
deity	ben jee; jee; jeeaght
delegate	chaghter; ynnydagh; cur magh
deliberate	goaill coyrle; jioinagh; kiarit
deliberation	coyrle; goaill coyrle; mellid
delicacy	bee-naightagh; dendeays; meer vlastal
delve	cassey sheese; cleiy; reuyrey
demolish	lhieggey; rassey; cur mow
demon	drogh spyrryd; jouyl; He's a demon for work
demonstrate	prowal; soilshaghey; taishbyney
denaturalise	goaill seyraneys jeh; jannoo neughooghyssagh; jee-najooraghey
denaturalize	goaill seyraneys jeh; jannoo neughooghyssagh; jee-najooraghey
density	glooaght; cheeid; trimmid
denunciation	insh er; jannoo cassid; obbal
depilatory	lhoamee; meayllee; stoo meayllee
depilous	gyn fynney; gyn renaig; lhoam
depose	brishey; cur ass oik; prowal
depreciate	coontey beggan jeh; injillaghey; jannoo beg jeh
depreciation	injillaghey; jannoo beg jeh; tuittym
depredation	cragh; craght; griu
depress	broo sheese; broojey sheese; ceau sheese
depressed	injil; lhag; lhag-chreeagh
depressive	groamagh; groamey; mergnagh
derangement	baanrys; mee-oardagh; shaghrynys keeaylley
derelict	lhong hreigit; tholtan; treigit
derider	conaasagh; craidoilagh; faghidagh
derisive	conaasagh; connyssagh; craidoilagh
derivative	frauee; tayrn-sthoo; toarey
derive	geddyn ass; goaill ass; goaill voish
descendant	cloan; fuilleeaght; sluight
descrying	peeikearagh; speeikearagh; speeikey
designate	cur sheese er; enmys; enmyssit
desolated	traartit; traartyssit; traartagh
despicable	mooidjeenagh; neu-feeu; boght
despiser	faghidagh; faghider; gannider
despoil	milley; spooilley; roostey
despoliation	milley; spooilley; roosteyrys
despond	cheet dy ve souaignagh; lhag-chreeys; sou-aigney
destitution	genney; gortey; ymmyrch
detached	scarrit; Semi-detached house; scart
detachment	neuhuim; possan; scarrey
detailed	cruinn; myn; Detailed account of the story
detestation	dwoaieys; feohdys; eajeeys
developer	anchoodeyder; fer foshlee; troggeyder
deviation	shaghrynys; treigeil; cleayney
devious	croutagh; rouaillagh; shaghrynagh
devolve	chymnaghey da; cur er; jee-veanaghey
devotee	ben haghee; fer taghee; ooashleyder
diabetes	chingys millish; gorley millish; diabeetys
diagram	diagram; graf; jalloo soilsheragh
diaphragm	scannane; sgairt; skairt
dice	ceau jeesley; slissey; jeeslaghan
dichotomy	ard-scarrey; neuchoardail; rheynn
dictate	jaghtey; reir; sarey
dictation	jaghtey; reirey; sareydys
dictator	ard-reillagh; ard-smaghteyder; jaghteyr
diffident	lhiastey; I was diffident about speaking to him; meehreisteilagh
diffuse	focklagh; scaalheaney; scaalheanit
diffusion	skeaylley; goll er fud; eddyrskeaylley
digit	bun-earroo; lheead meir; mair
dignified	ard-cheimnagh; mooaralagh; ooasle
dignitary	ard-er; ard-ghooinney; ard-ven
digraph	daaghraue; daalettyr; daa-ghraaf
dilapidation	drogh-chummey; tholtanys; tuittymys
dilated	bolgit; lheanit; sheeynt
dilation	bolgey; lheanaghey; sheeyney
dilemma	ancheisht; cront; doilleeid
dilute	cur ushtey ny hrooid; keylaghey; thannaghey
dilution	cur ushtey ny hrooid; keylaghey; thannaghey
ding-dong	anchorrym; claggintys; jing-jang
dingy	dullyr; mee-yesh; sallagh
dinosaur	jeeneysoar; jiolgan atchimagh; dinosaur
dirtier	broiee; broigheyder; s'broiee
disablement	anlheiltys; martarys; neustiuraght
disaccustom	cur ass y chliaghtey; cur ass y raad; neuchliaghtey
disagree	neuchoardail; streeu; tuittym magh
disagreeableness	granganys; groamid; meechoardailys
disappointing	contaartagh; moal; molleydagh
disarm	goaill ny armyn jeh; jee-armal; milljaghey
disarray	cur fud y cheilley; cur meeoardagh er; mee-oardagh
disciplined	custhit; fo biallys; smaghtit
disclaim	cur seose; jiooldey; obbal
disconnect	giarrey; jeh-chiangley; scarrey
disconnected	giarrit; jeh-chianglt; scarrit
discontented	anwooiagh; neuaashagh; neuwooiagh
discontinuous	barnagh; brisht; neulhiantagh
discordant	anveagh; mee-ving; meechoardailagh
discount	argid brishee; dooraght; Price subject to five percent discount/
discredit	anghoo; ceau anghoo er; meechredjal
discriminating	geyre-chooishagh; lhiettrimagh; teiyagh
discrimination	foayr; geyre-chooishaght; reih
disembark	cur er cheer; cur er thalloo; faagail
disembarkation	cur er cheer; goll er cheer; jee-lughtaghey
disembodied	jeh-chorpey; neuchorpoil; seyrit
disengaged	follym; scarrit; seyr
disfigurement	jannoo graney; milley; mitheraght
disgorge	aayiooldey; cur er ash; skeeahrey
disillusion	fosley; fosley sooilley; keeayl chionnit
disingenuous	mee-ynrick; sleetchaght; slydagh
disingenuousness	mee-ynricks; sleetchaght; slydaght
disinter	cleiy neese; jee-oanluckey; troggal ass yn oaye
disjointed	currit ass olt; neuyuntit; shaghrynagh
disloyalty	anleighalaght; meereiltys; mee-reiltys
dismay	contaart; contaartys; cur contaartys er
dismemberment	giarrey veih my cheilley; rheynn; tayrn veih my cheilley
dismissal	brishey; seyrey; He threatened her with dismissal
dismount	cur neose; lhieggal; lhieggey neose
disorderliness	meeoardreilys; neureajid; neureajys
disparage	jannoo beg jeh; leodaghey; tayrn drogh ghoo er
disparagement	jannoo beg jeh; jee-voylley; leodaghey
disparity	meereggyraght; neuchormid; neureggyraght
displacement	arraghey; scughey; toilleeaght
disqualification	bac; jee-aarlaghey; lhiettrimys
disqualify	cur bac er; cur lhiettrimys er; jee-aarlaghey
disreputable	drogh-ennymagh; nearagh; scammyltagh
disrespect	leodaghey; meearrym; mee-ooashley
disrobe	cur jeh; goaill y gooyn jeh; neuchoamrey
dissatisfaction	anwooiys; neuchooilleen; neuhaitnys
dissatisfy	cur anwooiys er; cur neuchooilleen er; jannoo meewooiagh
dissect	giarrey; mynscrutaghey; rheynn veih my cheilley
dissection	corp-yiarrey; mynscrutaghey; rheynn
dissembler	breagerey; fer foalsey; kialgeyr
dissent	jiooldaghey; jiooldey; neuchoardail
dissident	ass-unnaneagh; ass-unnaneyder; jiooldagh
dissimulate	follaghey; keiltyn; lhiggey er
dissimulation	follaghey; keiltyn; lhiggey er
dissipate	jummal; lheie; skeaylley
dissipation	jummal; lheie; skeaylley
dissociate	jee-chumraagey; jee-hymsaghey; scarrey
dissociation	jee-chumraagey; jee-hymsaghey; scarrey
distaff	cheu ny mraane; mooinjer ny mraane; quiggal
distaste	amvlass; meevian; I have a distaste for it
distasteful	meechaitnyssagh; meevianagh; meevlastal
distension	att; sheeyney magh; sheidey
distinctness	baghtallys; cronnalys; leayraght
distort	cammaghey; cammey; cassey
distorted	cammit; cassit; cleaynit
distressing	creoi; seaghnagh; smeihagh
distributor	fer ronney; rheynneyder; ronneyder
disturbance	anshee; anveays; boiraneys
disturbed	anaashagh; anveaghit; baanrit
ditto	cheddin; red cheddin; Ditto to you?
divisible	rheynnoil; so-rheynn; yn-rheynn
divorce	screeuyn-scarree; jannoo scarrey poosee; scarrey
divulgation	bloberaght; insh; kiaullanaghey
divulge	bloberaght; insh; kiaullanaghey
do	giense; yannoo; jannoo
docked	cuttagh; ec y cheiy; 'sy loghan
documentation	docamadys; niartaghey myr feanish; screeu myr feanish
dodge	cluge; clysht gys yn cheu; clyshtey
dodger	carmeish; chea ny hobbyr; cheader obbyr
dogged	kione-daaney; reen; shassooagh
doggedness	kione-daanys; reenid; shassooaght
dole	cooney; jee-chosnee; To be on the dole
dominie	mainshtyr scoill; shirveishag Africaanagh; shirveishag Albinagh
donee	ben geddyn gioot; fer geddyn gioot; giootalagh
doorman	dorryser; fer dorrysh; guilley dorrysh
dope	bun; Give me the dope then; dope
dormouse	cadlag geuree; doallag; lugh vagheragh
dose	cur jough lheeys da; dourin; jough lheeys
dot	breckey lesh ponkyn; cur ponk er; ponkey
dotty	breck; breckit; harrish ny sleityn
double-dealer	kialgeyr; lhoobeyr; meekeyr
doughnut	cro teayst; fainey teayst; teastag
dovetail	feeackle; jeddylt; lhie ry-cheilley
dowdy	slobbagh; trouisagh; trouise
dowel	dowal; stang; dowaley
downed	currit neose; currit sheese; lhieggit
downgrade	graadaghey-sheese; ginjillaghey; injillaghey
downmost	s'injley; s'inshley; sodjey sheese
downstairs	heese-greeishyn; neose ny greeishyn; To come downstairs
drab	dree; neughaahagh; streel
draft	cur ayns jiormey; cur jiormey er bun; draghtey
draining	jeeiganeagh; jeeigey; sornaigey
drastic	barb; feer feayslee; feer-phurgaidagh
draughtsman	babban tawlish; draghteyr; fer tawlish beg
dredge	dredjal; duinaghey; sleaydey
dredged	dredjit; duinit; sleaydit
dredger	baatey duinee; duineyder; sleaydeyder
drench	cur purgaid da; fliughey; purgaid
dressmaker	ben eaddeyder; eaddeyder; gooneyder
dribble	jibraght; sheeleen; jibrey
driftwood	fuygh marrey; mooirchoorey; mooirchooraghyn
drilled	drillit; tarrarit; towlit
droll	aitt; gamshogagh; gamshoge
drooped	croym; my-laaee; shymlit
dropper	drigeyder; pipaid; quaillag hoshee
drover	eiyreyder; griaghter; guilley n'ollee
drudge	dreih; tooilleil; drollane
drudgery	doccarys; dreihys; tooilleil
dryness	chirmid; chyrmid; shiastid
dubiousness	neuhickyrys; Dublin; Ir. Baile
duct	duct; feddan; pioban
dud	dyn ymmyd; foalsey; gyn y vie
duellist	caggeyder; co-chaggeyder; co-laneyder
dullness	drommid; dullyraght; mellid
dummy	breagag; bullad kyagh; corp foalsey
dump	carnane; tasht; dumpal
dunce	bollag hiu; donnan; kione-teayst
dunging	broighey; geoyllaghey; keckey
dung-pit	grape; grepp; gribbey
dunnock	boght keeir; buntee gorrym; jallyn cleigh
dupe	bleb; fer-vollit; marranagh
duplicate	dooblagh; dooblaghey; doobyl
duplicity	croutys; far-ghellal; kialg
dusky	dhoan-wuigh; dorraghey; dullyr
dwarf	crivassan; cruitin; dooinneen
dyke	boalley; cleigh marrey; kione
dynamite	bleaystey lesh poodyr; sheidey lesh poodyr; dynamite
dysentery	buinnagh mooar; chingys mooar y yiarrey; giarrey folley
earlobe	bab; blebbin cleayshey; flibbag
earmark	cowrey cleayshey; cowrey er lheh; cur cowrey cleayshey er
earthed	kianglt rish y thalloo; ooirit; thallooinit
easiness	aashaght; aashid; buiggys
easygoing	coar; soccaragh; soccoil
easy-going	coar; soccaragh; soccoil
ebony	billey eabban; eabban; ebony
eclipse	cur fo bodjal; cur fo doorey; dhooag
edgeless	gyn chemmal; gyn oirr; neufoyragh
edgeways	er beeal; er foyr; er oirr
eiderdown	clooie laagh Loghlynnagh; curleid; curlead-chlooie
ejaculation	raa gyn smooinaght; sheayney; soutey
ejection	cur ass shellooderys; cur magh; tilgey magh
electro-plate	argidey; lectro-plaital; plait argidit
elegy	bardoon; maroon; bardoonys
elementary	bun-oyragh; It is elementary; bun-stoo
elevating	troggalagh; troggee; yrjee
elevation	ard-cheim; caslys; ooaslid
elf	crivassan; ferrish; imshee
elicit	feddyn magh; tayrn magh; To elicit a reply from
elide	baighey; baih; boggaghey
eliminate	cur jerrey er; jiooldey; scryssey jeh
elision	baighey; baih; boggaghey
lite	sleih mullee; teiht; reiht
elude	cosney roish; scapail; shaghney
embarrass	boirey er; cur nearey er; cur fud y cheilley
embolden	cur creeaght ayn; cur daanys er; jannoo daaney
embroidery	grease; obbyr-ghrease; obbyr-snaidey
emetic	jough hilgee; skeeahoil; skeeahraghan
eminence	ard-cheim; ard-ennym; mullagh
emollient	meaoil; meeinagh; meeineyder
emotional	ennaghtagh; toghtagh; We must rid ourselves of all emotional attachments9
emporium	ard-vargey; margey; yl-happ
enchant	cur drualtys er; cur eunys er; cur fo oalys
enchanting	druiaghtagh; eunyssagh; oalyssagh
encircle	combaasal; combaasey; cruinnaghey mygeayrt
enclose	boallaghey; cruinnaghey; cur stiagh
enclosure	croa; injeig; jattan
encumber	cumrail; cur errey er; jannoo lheibeidjagh
endearment	ennoilid; Term of endearment; ennoilys
endorse	cordail rish; cordail; dreeym-screeu
endurance	beayn-hassooaght; beayntys; fuillaghtyn
endways	er e chione; er e lhiurid; hassoo
enfeebled	annooinit; We will kill him when he becomes enfeebled; moal
enfold	clamey; Enfold someone; filley seose
enforce	cur ayns bree; curmal; curmey
engineering	jeshaghteyrys; jeshaghtys; Hydraulic engineering
enigmatic	do-hoiggal; dorraghey; doo-ocklagh
enrol	claaraghey; cur er rolley; listal
ensuing	geiyrt er; lurg; yei
entail	cairys eiraght; cur cairys eiraght er; tayrn lesh
entanglement	camlaagys; pohlley; ribbey
enterprising	entreilagh; treealysagh; ventyragh
entitle	cur cairys da; cur ennym er; enmys
enumerate	enmys; enmyssey; genmyssey
envelope	coodagh; Envelope stuck all over with stamps; poagey screeuyn
equestrian	aghlagh; aghragh; markiagh
eradicate	astyral; astyrt; cur jerrey er
erupt	brishey magh; brooaney; bruightey
escort	gardey; He was sent there under escort$; lhong choadee
escutcheon	claare enmey; scape lught-thie; scutchyn
espousal	cheuaghey lesh; naishtey; poosey
espouse	cheuaghey lesh; nastey; poosey
